code,name,description,refreshed_at,from_date,to_date
BOM505368,REVATHI EQUIPMENT LTD.-$ EOD Prices,End of Day prices and additional trading information for REVATHI EQUIPMENT LTD.-$ EOD Prices.,2019-02-01 13:23:50,1991-01-07,2019-01-31
BOM505400,TEXMACO INFRASTRUCTURE & HOLDINGS LTD. EOD Prices,End of Day prices and additional trading information for TEXMACO INFRASTRUCTURE & HOLDINGS LTD. EOD Prices.,2019-02-01 13:23:50,1991-04-18,2019-01-31
BOM505412,WENDT (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for WENDT (INDIA) LTD. EOD Prices.,2019-02-01 13:23:50,1991-01-09,2019-01-31
BOM505502,PS IT Infrastructure & Services Limited EOD Prices,End of Day prices and additional trading information for PS IT Infrastructure & Services Limited EOD Prices.,2019-02-01 13:23:50,1991-03-21,2019-01-28
BOM505504,SINDU VALLEY TECHNOLOGIES LTD. EOD Prices,End of Day prices and additional trading information for SINDU VALLEY TECHNOLOGIES LTD. EOD Prices.,2019-02-01 13:23:50,1995-08-03,2007-03-13
BOM505506,Axon Ventures Ltd EOD Prices,End of Day prices and additional trading information for Axon Ventures Ltd EOD Prices.,2019-02-01 13:23:50,1992-11-09,2019-01-29
BOM505509,RESPONSIVE INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for RESPONSIVE INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:50,1999-09-02,2019-01-31
BOM505513,Shree Shaleen Textiles Limited EOD Prices,End of Day prices and additional trading information for Shree Shaleen Textiles Limited EOD Prices.,2015-11-12 11:56:34,2011-08-17,2015-01-06
BOM505515,SHYAMKAMAL INVESTMENTS LTD. EOD Prices,End of Day prices and additional trading information for SHYAMKAMAL INVESTMENTS LTD. EOD Prices.,2019-02-01 13:23:50,2015-07-28,2019-01-04
BOM505520,Hem Holdings & Trading Ltd. EOD Prices,End of Day prices and additional trading information for Hem Holdings & Trading Ltd. EOD Prices.,2018-12-14 13:22:22,2000-08-07,2000-08-07
BOM505523,MAHARASHTRA CORPORATION LTD. EOD Prices,End of Day prices and additional trading information for MAHARASHTRA CORPORATION LTD. EOD Prices.,2019-02-01 13:23:50,1991-10-31,2019-01-16
BOM505525,Parichay Investments Ltd. EOD Prices,End of Day prices and additional trading information for Parichay Investments Ltd. EOD Prices.,2015-11-12 11:56:34,1993-11-04,2015-01-06
BOM505526,DOLAT INVESTMENTS LTD. EOD Prices,End of Day prices and additional trading information for DOLAT INVESTMENTS LTD. EOD Prices.,2019-02-01 13:23:50,1994-05-18,2019-01-31
BOM505529,SHYAMAL HOLDINGS & TRADING LTD. EOD Prices,End of Day prices and additional trading information for SHYAMAL HOLDINGS & TRADING LTD. EOD Prices.,2019-02-01 13:23:50,1996-06-27,2011-09-21
BOM505530,PRISM INFORMATICS LTD. EOD Prices,End of Day prices and additional trading information for PRISM INFORMATICS LTD. EOD Prices.,2019-02-01 13:23:50,1993-04-13,2017-01-31
BOM505533,WESTLIFE DEVELOPMENT LTD. EOD Prices,End of Day prices and additional trading information for WESTLIFE DEVELOPMENT LTD. EOD Prices.,2019-02-01 13:23:50,1991-02-22,2019-01-31
BOM505537,ZEE ENTERTAINMENT ENTERPRISES LTD. EOD Prices,End of Day prices and additional trading information for ZEE ENTERTAINMENT ENTERPRISES LTD. EOD Prices.,2019-02-01 13:23:50,1993-11-25,2019-01-31
BOM505539,IMC FINANCE LTD. EOD Prices,End of Day prices and additional trading information for IMC FINANCE LTD. EOD Prices.,2019-02-01 13:23:50,1996-01-19,2007-09-05
BOM505576,Goldcrest Corporation Limited EOD Prices,End of Day prices and additional trading information for Goldcrest Corporation Limited EOD Prices.,2019-02-01 13:23:50,1993-10-26,2019-01-31
BOM505583,W W Technology Holdings Ltd. EOD Prices,End of Day prices and additional trading information for W W Technology Holdings Ltd. EOD Prices.,,,
