code,name,description,refreshed_at,from_date,to_date
BOM500002,ABB India Limited EOD Prices,End of Day prices and additional trading information for ABB India Limited EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500003,AEGIS LOGISTICS LTD. EOD Prices,End of Day prices and additional trading information for AEGIS LOGISTICS LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500008,AMARA RAJA BATTERIES LTD. EOD Prices,End of Day prices and additional trading information for AMARA RAJA BATTERIES LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500009,AMBALAL SARABHAI ENTERPRISES LTD. EOD Prices,End of Day prices and additional trading information for AMBALAL SARABHAI ENTERPRISES LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500010,HOUSING DEVELOPMENT FINANCE CORP.LTD. EOD Prices,End of Day prices and additional trading information for HOUSING DEVELOPMENT FINANCE CORP.LTD. EOD Prices.,2019-02-01 13:23:46,1992-01-03,2019-01-31
BOM500012,ANDHRA PETROCHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for ANDHRA PETROCHEMICALS LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD. EOD Prices,End of Day prices and additional trading information for ANSAL PROPERTIES & INFRASTRUCTURE LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500014,APPLE FINANCE LTD. EOD Prices,End of Day prices and additional trading information for APPLE FINANCE LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500020,BOMBAY DYEING & MFG.CO.LTD. EOD Prices,End of Day prices and additional trading information for BOMBAY DYEING & MFG.CO.LTD. EOD Prices.,2019-02-01 13:23:46,1991-01-02,2019-01-31
BOM500023,Asian Hotels (North) Limited EOD Prices,End of Day prices and additional trading information for Asian Hotels (North) Limited EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-30
BOM500024,Assam Company (India) Limited EOD Prices,End of Day prices and additional trading information for Assam Company (India) Limited EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500027,ATUL LTD. EOD Prices,End of Day prices and additional trading information for ATUL LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-03,2019-01-31
BOM500028,ATV PROJECTS INDIA LTD. EOD Prices,End of Day prices and additional trading information for ATV PROJECTS INDIA LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500029,AUTOLITE (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for AUTOLITE (INDIA) LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-03,2019-01-31
BOM500030,AUTORIDERS FINANCE LTD. EOD Prices,End of Day prices and additional trading information for AUTORIDERS FINANCE LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2018-01-01
BOM500031,BAJAJ ELECTRICALS LTD.-$ EOD Prices,End of Day prices and additional trading information for BAJAJ ELECTRICALS LTD.-$ EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500032,Bajaj Hindusthan Sugar Limited EOD Prices,End of Day prices and additional trading information for Bajaj Hindusthan Sugar Limited EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500033,FORCE MOTORS LTD.-$ EOD Prices,End of Day prices and additional trading information for FORCE MOTORS LTD.-$ EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500034,Bajaj Finance Limited EOD Prices,End of Day prices and additional trading information for Bajaj Finance Limited EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500038,BALRAMPUR CHINI MILLS LTD. EOD Prices,End of Day prices and additional trading information for BALRAMPUR CHINI MILLS LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500039,BANCO PRODUCTS (INDIA) LTD.-$ EOD Prices,End of Day prices and additional trading information for BANCO PRODUCTS (INDIA) LTD.-$ EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500040,CENTURY TEXTILES & INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for CENTURY TEXTILES & INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:46,1991-01-03,2019-01-31
BOM500041,BANNARI AMMAN SUGARS LTD. EOD Prices,End of Day prices and additional trading information for BANNARI AMMAN SUGARS LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500042,BASF INDIA LTD. EOD Prices,End of Day prices and additional trading information for BASF INDIA LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500043,BATA INDIA LTD. EOD Prices,End of Day prices and additional trading information for BATA INDIA LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500046,Best & Crompton Engg.ltd. EOD Prices,End of Day prices and additional trading information for Best & Crompton Engg.ltd. EOD Prices.,2015-11-12 11:56:28,1992-03-03,2015-06-22
BOM500048,BEML LTD. EOD Prices,End of Day prices and additional trading information for BEML LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500049,BHARAT ELECTRONICS LTD. EOD Prices,End of Day prices and additional trading information for BHARAT ELECTRONICS LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-18,2019-01-31
BOM500051,Bhagawati Gas Limited EOD Prices,End of Day prices and additional trading information for Bhagawati Gas Limited EOD Prices.,2019-02-01 13:23:46,1995-05-02,2017-02-20
BOM500052,BHANSALI ENGINEERING POLYMERS LTD.-$ EOD Prices,End of Day prices and additional trading information for BHANSALI ENGINEERING POLYMERS LTD.-$ EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500055,Tata Steel Bsl Ltd EOD Prices,End of Day prices and additional trading information for Tata Steel Bsl Ltd EOD Prices.,2019-02-01 13:23:46,2015-09-14,2019-01-31
BOM500057,ADITYA BIRLA CHEMICALS (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for ADITYA BIRLA CHEMICALS (INDIA) LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2016-01-13
BOM500058,BIHAR SPONGE IRON LTD. EOD Prices,End of Day prices and additional trading information for BIHAR SPONGE IRON LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500059,BINANI INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for BINANI INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500060,Birla Cable Ltd EOD Prices,End of Day prices and additional trading information for Birla Cable Ltd EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500067,BLUE STAR LTD. EOD Prices,End of Day prices and additional trading information for BLUE STAR LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500068,DISA INDIA LTD. EOD Prices,End of Day prices and additional trading information for DISA INDIA LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500069,BNK CAPITAL MARKETS LTD. EOD Prices,End of Day prices and additional trading information for BNK CAPITAL MARKETS LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500074,BPL LTD. EOD Prices,End of Day prices and additional trading information for BPL LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500077,Cable Corporation Of India Ltd. EOD Prices,End of Day prices and additional trading information for Cable Corporation Of India Ltd. EOD Prices.,2015-11-12 11:56:28,1992-03-02,2014-01-08
BOM500078,Oriental Aromatics Ltd-$ EOD Prices,End of Day prices and additional trading information for Oriental Aromatics Ltd-$ EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500083,CENTURY EXTRUSIONS LTD. EOD Prices,End of Day prices and additional trading information for CENTURY EXTRUSIONS LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500084,CESC LTD. EOD Prices,End of Day prices and additional trading information for CESC LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500085,CHAMBAL FERTILISERS & CHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for CHAMBAL FERTILISERS & CHEMICALS LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500086,EXIDE INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for EXIDE INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-11,2019-01-31
BOM500087,CIPLA LTD. EOD Prices,End of Day prices and additional trading information for CIPLA LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500089,DIC INDIA LTD. EOD Prices,End of Day prices and additional trading information for DIC INDIA LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-12,2019-01-30
BOM500092,CRISIL LTD. EOD Prices,End of Day prices and additional trading information for CRISIL LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500093,CG Power and Industrial Solutions Ltd EOD Prices,End of Day prices and additional trading information for CG Power and Industrial Solutions Ltd EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500095,Wyeth Ltd. EOD Prices,End of Day prices and additional trading information for Wyeth Ltd. EOD Prices.,2015-11-12 11:56:28,1992-03-02,2014-12-09
BOM500096,DABUR INDIA LTD. EOD Prices,End of Day prices and additional trading information for DABUR INDIA LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500097,Dalmia Bharat Sugar and Industries Ltd EOD Prices,End of Day prices and additional trading information for Dalmia Bharat Sugar and Industries Ltd EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500101,ARVIND LTD. EOD Prices,End of Day prices and additional trading information for ARVIND LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-05,2019-01-31
BOM500102,BALLARPUR INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for BALLARPUR INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:46,2015-09-14,2019-01-31
BOM500103,BHARAT HEAVY ELECTRICALS LTD. EOD Prices,End of Day prices and additional trading information for BHARAT HEAVY ELECTRICALS LTD. EOD Prices.,2019-02-01 13:23:46,2015-09-14,2019-01-31
BOM500104,HINDUSTAN PETROLEUM CORPORATION LTD. EOD Prices,End of Day prices and additional trading information for HINDUSTAN PETROLEUM CORPORATION LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-05,2019-01-31
BOM500106,IFCI LTD. EOD Prices,End of Day prices and additional trading information for IFCI LTD. EOD Prices.,2019-02-01 13:23:46,2015-09-14,2019-01-31
BOM500108,MAHANAGAR TELEPHONE NIGAM LTD. EOD Prices,End of Day prices and additional trading information for MAHANAGAR TELEPHONE NIGAM LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-05,2019-01-31
BOM500109,MANGALORE REFINERY & PETROCHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for MANGALORE REFINERY & PETROCHEMICALS LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-05,2019-01-31
BOM500110,CHENNAI PETROLEUM CORPORATION LTD. EOD Prices,End of Day prices and additional trading information for CHENNAI PETROLEUM CORPORATION LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-05,2019-01-31
BOM500111,RELIANCE CAPITAL LTD. EOD Prices,End of Day prices and additional trading information for RELIANCE CAPITAL LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-05,2019-01-31
BOM500112,STATE BANK OF INDIA EOD Prices,End of Day prices and additional trading information for STATE BANK OF INDIA EOD Prices.,2019-02-01 13:23:46,1995-05-05,2019-01-31
BOM500113,STEEL AUTHORITY OF INDIA LTD. EOD Prices,End of Day prices and additional trading information for STEEL AUTHORITY OF INDIA LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-05,2019-01-31
BOM500114,Titan Company Limited EOD Prices,End of Day prices and additional trading information for Titan Company Limited EOD Prices.,2019-02-01 13:23:46,1995-05-05,2019-01-31
BOM500116,IDBI BANK LTD. EOD Prices,End of Day prices and additional trading information for IDBI BANK LTD. EOD Prices.,2019-02-01 13:23:46,1995-09-20,2019-01-31
BOM500117,DCW LTD. EOD Prices,End of Day prices and additional trading information for DCW LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500119,DHAMPUR SUGAR MILLS LTD. EOD Prices,End of Day prices and additional trading information for DHAMPUR SUGAR MILLS LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500120,DIAMINES & CHEMICALS LTD.-$ EOD Prices,End of Day prices and additional trading information for DIAMINES & CHEMICALS LTD.-$ EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500123,ELANTAS BECK INDIA LTD.-$ EOD Prices,End of Day prices and additional trading information for ELANTAS BECK INDIA LTD.-$ EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500124,DR.REDDY'S LABORATORIES LTD. EOD Prices,End of Day prices and additional trading information for DR.REDDY'S LABORATORIES LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500125,E.I.D.-PARRY (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for E.I.D.-PARRY (INDIA) LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-13,2019-01-31
BOM500126,MERCK LTD. EOD Prices,End of Day prices and additional trading information for MERCK LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500128,ELECTROSTEEL CASTINGS LTD. EOD Prices,End of Day prices and additional trading information for ELECTROSTEEL CASTINGS LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-10,2019-01-31
BOM500132,EMPEE SUGARS & CHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for EMPEE SUGARS & CHEMICALS LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500133,ESAB INDIA LTD. EOD Prices,End of Day prices and additional trading information for ESAB INDIA LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500134,ESSAR OIL LTD. EOD Prices,End of Day prices and additional trading information for ESSAR OIL LTD. EOD Prices.,2019-02-01 13:23:46,1996-04-02,2016-02-09
BOM500135,ESSEL PROPACK LTD. EOD Prices,End of Day prices and additional trading information for ESSEL PROPACK LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500136,ESTER INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for ESTER INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500139,Fedders Electric and Engineering Ltd EOD Prices,End of Day prices and additional trading information for Fedders Electric and Engineering Ltd EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-21
BOM500141,FERRO ALLOYS CORPORATION LTD. EOD Prices,End of Day prices and additional trading information for FERRO ALLOYS CORPORATION LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500142,FGP LTD. EOD Prices,End of Day prices and additional trading information for FGP LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500143,PH CAPITAL LTD. EOD Prices,End of Day prices and additional trading information for PH CAPITAL LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-09
BOM500144,FINOLEX CABLES LTD. EOD Prices,End of Day prices and additional trading information for FINOLEX CABLES LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500145,First Leasing Co.of India Ltd. EOD Prices,End of Day prices and additional trading information for First Leasing Co.of India Ltd. EOD Prices.,2015-11-12 11:56:29,1992-03-02,2015-03-30
BOM500147,CMI FPE LTD.-$ EOD Prices,End of Day prices and additional trading information for CMI FPE LTD.-$ EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500148,UFLEX LTD. EOD Prices,End of Day prices and additional trading information for UFLEX LTD. EOD Prices.,2019-02-01 13:23:46,1992-03-02,2019-01-31
BOM500150,FOSECO INDIA LTD. EOD Prices,End of Day prices and additional trading information for FOSECO INDIA LTD. EOD Prices.,2019-02-01 13:23:46,1995-05-02,2019-01-31
BOM500151,GOLDEN TOBACCO LTD. EOD Prices,End of Day prices and additional trading information for GOLDEN TOBACCO LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500153,GANESH BENZOPLAST LTD. EOD Prices,End of Day prices and additional trading information for GANESH BENZOPLAST LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500155,GARDEN SILK MILLS LTD. EOD Prices,End of Day prices and additional trading information for GARDEN SILK MILLS LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500159,Metroglobal Limited EOD Prices,End of Day prices and additional trading information for Metroglobal Limited EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500160,GTL LTD. EOD Prices,End of Day prices and additional trading information for GTL LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500162,PARRYS SUGAR INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for PARRYS SUGAR INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2017-05-24
BOM500163,GODFREY PHILLIPS INDIA LTD. EOD Prices,End of Day prices and additional trading information for GODFREY PHILLIPS INDIA LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500164,GODREJ INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for GODREJ INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500165,KANSAI NEROLAC PAINTS LTD. EOD Prices,End of Day prices and additional trading information for KANSAI NEROLAC PAINTS LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-10,2019-01-31
BOM500166,GOODRICKE GROUP LTD. EOD Prices,End of Day prices and additional trading information for GOODRICKE GROUP LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500168,GOODYEAR INDIA LTD. EOD Prices,End of Day prices and additional trading information for GOODYEAR INDIA LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500170,GTN INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for GTN INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500171,GHCL LTD. EOD Prices,End of Day prices and additional trading information for GHCL LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500173,GUJARAT FLUOROCHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for GUJARAT FLUOROCHEMICALS LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500174,GUJARAT LEASE FINANCING LTD. EOD Prices,End of Day prices and additional trading information for GUJARAT LEASE FINANCING LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-15
BOM500179,HCL INFOSYSTEMS LTD. EOD Prices,End of Day prices and additional trading information for HCL INFOSYSTEMS LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500180,HDFC Bank Ltd EOD Prices,End of Day prices and additional trading information for HDFC Bank Ltd EOD Prices.,2019-02-01 13:23:47,1995-05-26,2019-01-31
BOM500182,HERO MOTOCORP LTD. EOD Prices,End of Day prices and additional trading information for HERO MOTOCORP LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500183,HIMACHAL FUTURISTIC COMMUNICATIONS LTD. EOD Prices,End of Day prices and additional trading information for HIMACHAL FUTURISTIC COMMUNICATIONS LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500184,Himadri Speciality Chemical Ltd EOD Prices,End of Day prices and additional trading information for Himadri Speciality Chemical Ltd EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500185,HINDUSTAN CONSTRUCTION CO.LTD. EOD Prices,End of Day prices and additional trading information for HINDUSTAN CONSTRUCTION CO.LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500186,HINDUSTAN OIL EXPLORATION CO.LTD. EOD Prices,End of Day prices and additional trading information for HINDUSTAN OIL EXPLORATION CO.LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500187,HSIL LTD. EOD Prices,End of Day prices and additional trading information for HSIL LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500188,HINDUSTAN ZINC LTD. EOD Prices,End of Day prices and additional trading information for HINDUSTAN ZINC LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500189,HINDUJA VENTURES LTD. EOD Prices,End of Day prices and additional trading information for HINDUJA VENTURES LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-08,2019-01-31
BOM500191,HMT LTD. EOD Prices,End of Day prices and additional trading information for HMT LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500192,PRAG BOSIMI SYNTHETICS LTD. EOD Prices,End of Day prices and additional trading information for PRAG BOSIMI SYNTHETICS LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-29
BOM500193,HOTEL LEELAVENTURE LTD. EOD Prices,End of Day prices and additional trading information for HOTEL LEELAVENTURE LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500199,I G PETROCHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for I G PETROCHEMICALS LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-03,2019-01-31
BOM500201,INDIA GLYCOLS LTD. EOD Prices,End of Day prices and additional trading information for INDIA GLYCOLS LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500202,INDIA LEASE DEVELOPMENT LTD. EOD Prices,End of Day prices and additional trading information for INDIA LEASE DEVELOPMENT LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2018-12-03
BOM500206,Margo Finance Limited EOD Prices,End of Day prices and additional trading information for Margo Finance Limited EOD Prices.,2015-11-12 11:56:29,1995-05-02,2015-08-26
BOM500207,INDO RAMA SYNTHETICS (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for INDO RAMA SYNTHETICS (INDIA) LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500209,INFOSYS LTD. EOD Prices,End of Day prices and additional trading information for INFOSYS LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500210,INGERSOLL-RAND (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for INGERSOLL-RAND (INDIA) LTD. EOD Prices.,2019-02-01 13:23:47,1991-01-03,2019-01-31
BOM500211,INSILCO LTD. EOD Prices,End of Day prices and additional trading information for INSILCO LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500212,INTEGRATED FINANCIAL SERVICES LTD. EOD Prices,End of Day prices and additional trading information for INTEGRATED FINANCIAL SERVICES LTD. EOD Prices.,2019-02-01 13:23:47,1996-04-16,2019-01-28
BOM500213,INTERNATIONAL TRAVEL HOUSE LTD.-$ EOD Prices,End of Day prices and additional trading information for INTERNATIONAL TRAVEL HOUSE LTD.-$ EOD Prices.,2019-02-01 13:23:47,1995-05-03,2019-01-31
BOM500214,ION EXCHANGE (INDIA) LTD.-$ EOD Prices,End of Day prices and additional trading information for ION EXCHANGE (INDIA) LTD.-$ EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500215,AGRO TECH FOODS LTD. EOD Prices,End of Day prices and additional trading information for AGRO TECH FOODS LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-03,2019-01-31
BOM500219,JAIN IRRIGATION SYSTEMS LTD. EOD Prices,End of Day prices and additional trading information for JAIN IRRIGATION SYSTEMS LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500220,JASCH INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for JASCH INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500222,JCT ELECTRONICS LTD. EOD Prices,End of Day prices and additional trading information for JCT ELECTRONICS LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2016-05-19
BOM500223,JCT LTD. EOD Prices,End of Day prices and additional trading information for JCT LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-11,2019-01-31
BOM500227,JINDAL POLY FILMS LTD. EOD Prices,End of Day prices and additional trading information for JINDAL POLY FILMS LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500228,JSW STEEL LTD. EOD Prices,End of Day prices and additional trading information for JSW STEEL LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500231,UMANG DAIRIES LTD. EOD Prices,End of Day prices and additional trading information for UMANG DAIRIES LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500233,KAJARIA CERAMICS LTD. EOD Prices,End of Day prices and additional trading information for KAJARIA CERAMICS LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500234,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for KAKATIYA CEMENT SUGAR & INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500235,KALYANI STEELS LTD. EOD Prices,End of Day prices and additional trading information for KALYANI STEELS LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500236,Kanel Industries Limited EOD Prices,End of Day prices and additional trading information for Kanel Industries Limited EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-29
BOM500238,WHIRLPOOL OF INDIA LTD. EOD Prices,End of Day prices and additional trading information for WHIRLPOOL OF INDIA LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500239,KG DENIM LTD. EOD Prices,End of Day prices and additional trading information for KG DENIM LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500240,KINETIC ENGINEERING LTD. EOD Prices,End of Day prices and additional trading information for KINETIC ENGINEERING LTD. EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500241,KIRLOSKAR BROTHERS LTD.-$ EOD Prices,End of Day prices and additional trading information for KIRLOSKAR BROTHERS LTD.-$ EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500243,Kirloskar Industries Ltd EOD Prices,End of Day prices and additional trading information for Kirloskar Industries Ltd EOD Prices.,2019-02-01 13:23:47,1992-03-02,2019-01-31
BOM500245,KIRLOSKAR FERROUS INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for KIRLOSKAR FERROUS INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500246,ENVAIR ELECTRODYNE LTD. EOD Prices,End of Day prices and additional trading information for ENVAIR ELECTRODYNE LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500247,KOTAK MAHINDRA BANK LTD. EOD Prices,End of Day prices and additional trading information for KOTAK MAHINDRA BANK LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2019-01-31
BOM500248,MAVI INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for MAVI INDUSTRIES LTD. EOD Prices.,2019-02-01 13:23:47,1995-05-02,2018-10-24
BOM500249,KSB Ltd EOD Prices,End of Day prices and additional trading information for KSB Ltd EOD Prices.,2019-02-01 13:23:47,1992-03-03,2019-01-31
BOM500250,L.G.BALAKRISHNAN & BROS.LTD. EOD Prices,End of Day prices and additional trading information for L.G.BALAKRISHNAN & BROS.LTD. EOD Prices.,2019-02-01 13:23:47,1996-04-16,2019-01-31
